dataset,pair,model,metric,segment_id,score
wmt24pp,en-de_DE,hy-mt2-1.8b,ter,26,125.0
wmt24pp,en-de_DE,hy-mt2-1.8b,ter,115,49.382716049382715
wmt24pp,en-de_DE,hy-mt2-1.8b,ter,143,65.1685393258427
wmt24pp,en-de_DE,hy-mt2-1.8b,ter,230,0.0
wmt24pp,en-de_DE,hy-mt2-1.8b,ter,252,58.82352941176471
wmt24pp,en-de_DE,hy-mt2-1.8b,ter,287,75.0
wmt24pp,en-de_DE,hy-mt2-1.8b,ter,692,33.78378378378378
wmt24pp,en-de_DE,hy-mt2-1.8b,ter,797,62.857142857142854
wmt24pp,en-de_DE,translategemma-4b,ter,26,112.5
wmt24pp,en-de_DE,translategemma-4b,ter,115,64.19753086419753
wmt24pp,en-de_DE,translategemma-4b,ter,143,52.80898876404494
wmt24pp,en-de_DE,translategemma-4b,ter,230,200.0
wmt24pp,en-de_DE,translategemma-4b,ter,252,52.94117647058824
wmt24pp,en-de_DE,translategemma-4b,ter,287,65.0
wmt24pp,en-de_DE,translategemma-4b,ter,692,33.78378378378378
wmt24pp,en-de_DE,translategemma-4b,ter,797,69.28571428571428
wmt24pp,en-de_DE,hy-mt2-1.8b,comet22,26,0.6885295510292053
wmt24pp,en-de_DE,hy-mt2-1.8b,comet22,115,0.8519561886787415
wmt24pp,en-de_DE,hy-mt2-1.8b,comet22,143,0.8014524579048157
wmt24pp,en-de_DE,hy-mt2-1.8b,comet22,230,0.9931277632713318
wmt24pp,en-de_DE,hy-mt2-1.8b,comet22,252,0.6901167631149292
wmt24pp,en-de_DE,hy-mt2-1.8b,comet22,287,0.7942691445350647
wmt24pp,en-de_DE,hy-mt2-1.8b,comet22,692,0.882929265499115
wmt24pp,en-de_DE,hy-mt2-1.8b,comet22,797,0.7520888447761536
wmt24pp,en-de_DE,translategemma-4b,comet22,26,0.760561466217041
wmt24pp,en-de_DE,translategemma-4b,comet22,115,0.8518486618995667
wmt24pp,en-de_DE,translategemma-4b,comet22,143,0.8105149865150452
wmt24pp,en-de_DE,translategemma-4b,comet22,230,0.9931277632713318
wmt24pp,en-de_DE,translategemma-4b,comet22,252,0.8005373477935791
wmt24pp,en-de_DE,translategemma-4b,comet22,287,0.7855656743049622
wmt24pp,en-de_DE,translategemma-4b,comet22,692,0.870809018611908
wmt24pp,en-de_DE,translategemma-4b,comet22,797,0.8317683935165405
wmt25,en-ja_JP,hy-mt2-1.8b,bleu,en-ja_JP_#_news_#_nytimes.153341,17.503667397052702
wmt25,en-ja_JP,hy-mt2-1.8b,bleu,en-ja_JP_#_speech_#_vid_u2JNW0Ftyzg,14.095689422683842
wmt25,en-ja_JP,translategemma-4b,bleu,en-ja_JP_#_news_#_nytimes.153341,18.338683340848732
wmt25,en-ja_JP,translategemma-4b,bleu,en-ja_JP_#_speech_#_vid_u2JNW0Ftyzg,4.699945259128141
wmt25,en-ja_JP,hy-mt2-1.8b,chrf++,en-ja_JP_#_news_#_nytimes.153341,23.80259014596615
wmt25,en-ja_JP,hy-mt2-1.8b,chrf++,en-ja_JP_#_speech_#_vid_u2JNW0Ftyzg,19.944411523630436
wmt25,en-ja_JP,translategemma-4b,chrf++,en-ja_JP_#_news_#_nytimes.153341,23.294354388741905
wmt25,en-ja_JP,translategemma-4b,chrf++,en-ja_JP_#_speech_#_vid_u2JNW0Ftyzg,12.758377314717611
wmt25,en-ja_JP,hy-mt2-1.8b,ter,en-ja_JP_#_news_#_nytimes.153341,88.05429864253394
wmt25,en-ja_JP,hy-mt2-1.8b,ter,en-ja_JP_#_speech_#_vid_u2JNW0Ftyzg,72.5
wmt25,en-ja_JP,translategemma-4b,ter,en-ja_JP_#_news_#_nytimes.153341,90.13574660633483
wmt25,en-ja_JP,translategemma-4b,ter,en-ja_JP_#_speech_#_vid_u2JNW0Ftyzg,83.125
wmt25,en-ja_JP,hy-mt2-1.8b,comet22,en-ja_JP_#_news_#_nytimes.153341,0.8884359002113342
wmt25,en-ja_JP,hy-mt2-1.8b,comet22,en-ja_JP_#_speech_#_vid_u2JNW0Ftyzg,0.8113678097724915
wmt25,en-ja_JP,translategemma-4b,comet22,en-ja_JP_#_news_#_nytimes.153341,0.910597801208496
wmt25,en-ja_JP,translategemma-4b,comet22,en-ja_JP_#_speech_#_vid_u2JNW0Ftyzg,0.7544886469841003
wmt24pp,en-de_DE,hy-mt2-1.8b,bleu,26,5.522397783539471
wmt24pp,en-de_DE,hy-mt2-1.8b,bleu,115,36.90326669109564
wmt24pp,en-de_DE,hy-mt2-1.8b,bleu,143,30.83054629989842
wmt24pp,en-de_DE,hy-mt2-1.8b,bleu,230,100.00000000000004
wmt24pp,en-de_DE,hy-mt2-1.8b,bleu,252,12.066209970920305
wmt24pp,en-de_DE,hy-mt2-1.8b,bleu,287,4.705244978975818
wmt24pp,en-de_DE,hy-mt2-1.8b,bleu,692,48.54313276851199
wmt24pp,en-de_DE,hy-mt2-1.8b,bleu,797,17.275369042634278
wmt24pp,en-de_DE,translategemma-4b,bleu,26,4.196114906296549
wmt24pp,en-de_DE,translategemma-4b,bleu,115,26.70555677775142
wmt24pp,en-de_DE,translategemma-4b,bleu,143,34.34709119454492
wmt24pp,en-de_DE,translategemma-4b,bleu,230,10.682175159905851
wmt24pp,en-de_DE,translategemma-4b,bleu,252,15.880025377556455
wmt24pp,en-de_DE,translategemma-4b,bleu,287,5.486024359355534
wmt24pp,en-de_DE,translategemma-4b,bleu,692,44.95756985287452
wmt24pp,en-de_DE,translategemma-4b,bleu,797,18.02699816500966
wmt24pp,en-de_DE,translategemma-4b,chrf++,26,16.05243675974803
wmt24pp,en-de_DE,translategemma-4b,chrf++,115,57.53159717408416
wmt24pp,en-de_DE,translategemma-4b,chrf++,143,57.84089720677363
wmt24pp,en-de_DE,translategemma-4b,chrf++,230,68.47255685660708
wmt24pp,en-de_DE,translategemma-4b,chrf++,252,53.56105408639162
wmt24pp,en-de_DE,translategemma-4b,chrf++,287,41.99424685452168
wmt24pp,en-de_DE,translategemma-4b,chrf++,692,67.08515961163637
wmt24pp,en-de_DE,translategemma-4b,chrf++,797,55.6597858645454
wmt24pp,en-de_DE,hy-mt2-1.8b,chrf++,26,25.589853642377275
